event,mid,best_ask,best_bid,buy_market_vol,sell_market_vol,buy_limit_vol,sell_limit_vol,buy_cancel_vol,sell_cancel_vol,lvl0_ask_p,lvl0_ask_v,lvl0_bid_p,lvl0_bid_v,lvl1_ask_p,lvl1_ask_v,lvl1_bid_p,lvl1_bid_v,lvl2_ask_p,lvl2_ask_v,lvl2_bid_p,lvl2_bid_v,lvl3_ask_p,lvl3_ask_v,lvl3_bid_p,lvl3_bid_v,lvl4_ask_p,lvl4_ask_v,lvl4_bid_p,lvl4_bid_v,lvl5_ask_p,lvl5_ask_v,lvl5_bid_p,lvl5_bid_v,lvl6_ask_p,lvl6_ask_v,lvl6_bid_p,lvl6_bid_v,lvl7_ask_p,lvl7_ask_v,lvl7_bid_p,lvl7_bid_v,lvl8_ask_p,lvl8_ask_v,lvl8_bid_p,lvl8_bid_v,lvl9_ask_p,lvl9_ask_v,lvl9_bid_p,lvl9_bid_v
0,12.355,12.37,12.34,24.0,23.0,62.0,57.0,71.0,19.0,12.37,7100.0,12.34,15000.0,12.38,9600.0,12.33,3000.0,12.39,13800.0,12.32,3600.0,12.4,19700.0,12.31,8900.0,12.41,7400.0,12.3,2000.0,12.42,4100.0,12.29,19000.0,12.43,11200.0,12.28,18100.0,12.44,19100.0,12.27,1900.0,12.45,8200.0,12.26,16900.0,12.46,10400.0,12.25,10600.0
1,12.35,12.36,12.34,78.0,23.0,13.0,75.0,39.0,46.0,12.36,11800.0,12.34,14300.0,12.37,18800.0,12.33,17800.0,12.38,12800.0,12.32,11900.0,12.39,7800.0,12.31,3200.0,12.4,14400.0,12.3,1000.0,12.41,14200.0,12.29,10400.0,12.42,15900.0,12.28,19000.0,12.43,11500.0,12.27,11800.0,12.44,10200.0,12.26,8000.0,12.45,2600.0,12.25,1500.0
2,12.355,12.36,12.35,29.0,25.0,1.0,79.0,20.0,22.0,12.36,14700.0,12.35,18300.0,12.37,2000.0,12.34,7200.0,12.38,12500.0,12.33,14300.0,12.39,14900.0,12.32,14100.0,12.4,2500.0,12.31,5800.0,12.41,9900.0,12.3,2200.0,12.42,7500.0,12.29,8300.0,12.43,19500.0,12.28,7000.0,12.44,19400.0,12.27,14300.0,12.45,14100.0,12.26,16500.0
3,12.355,12.37,12.34,6.0,29.0,29.0,74.0,15.0,22.0,12.37,17000.0,12.34,5200.0,12.38,8900.0,12.33,11000.0,12.39,19500.0,12.32,1700.0,12.4,10000.0,12.31,5000.0,12.41,4900.0,12.3,15400.0,12.42,4800.0,12.29,16000.0,12.43,19800.0,12.28,15700.0,12.44,4200.0,12.27,3700.0,12.45,9300.0,12.26,11400.0,12.46,15700.0,12.25,9000.0
4,12.35,12.36,12.34,79.0,55.0,5.0,49.0,32.0,45.0,12.36,4100.0,12.34,19800.0,12.37,18100.0,12.33,13400.0,12.38,14200.0,12.32,18700.0,12.39,10000.0,12.31,3700.0,12.4,12500.0,12.3,9500.0,12.41,16100.0,12.29,15600.0,12.42,9900.0,12.28,7900.0,12.43,9000.0,12.27,13000.0,12.44,13100.0,12.26,10700.0,12.45,11100.0,12.25,19800.0
5,12.344999,12.36,12.33,2.0,24.0,39.0,65.0,30.0,6.0,12.36,5800.0,12.33,4300.0,12.37,16100.0,12.32,18700.0,12.38,12500.0,12.31,8600.0,12.39,7600.0,12.3,9800.0,12.4,1900.0,12.29,11000.0,12.41,6100.0,12.28,6000.0,12.42,11600.0,12.27,19300.0,12.43,4900.0,12.26,18300.0,12.44,10800.0,12.25,19400.0,12.45,8200.0,12.24,19900.0
6,12.34,12.36,12.32,78.0,30.0,28.0,76.0,66.0,72.0,12.36,13500.0,12.32,13700.0,12.37,11700.0,12.31,9500.0,12.38,10900.0,12.3,17100.0,12.39,16000.0,12.29,1400.0,12.4,14100.0,12.28,16800.0,12.41,15100.0,12.27,10400.0,12.42,7300.0,12.26,13700.0,12.43,13600.0,12.25,8100.0,12.44,8700.0,12.24,8000.0,12.45,1800.0,12.23,1600.0
7,12.344999,12.36,12.33,36.0,71.0,51.0,22.0,61.0,14.0,12.36,2500.0,12.33,9000.0,12.37,10600.0,12.32,8700.0,12.38,19100.0,12.31,5200.0,12.39,8400.0,12.3,5600.0,12.4,6600.0,12.29,12000.0,12.41,6800.0,12.28,7000.0,12.42,13700.0,12.27,16700.0,12.43,5000.0,12.26,3100.0,12.44,5500.0,12.25,11900.0,12.45,19200.0,12.24,4000.0
8,12.344999,12.36,12.33,21.0,61.0,54.0,44.0,51.0,55.0,12.36,1800.0,12.33,11000.0,12.37,19800.0,12.32,11400.0,12.38,18500.0,12.31,13200.0,12.39,1600.0,12.3,9100.0,12.4,15600.0,12.29,10600.0,12.41,4700.0,12.28,4400.0,12.42,13600.0,12.27,9700.0,12.43,11900.0,12.26,8000.0,12.44,7400.0,12.25,13600.0,12.45,1100.0,12.24,9200.0
9,12.345,12.35,12.34,23.0,74.0,78.0,50.0,2.0,39.0,12.35,8000.0,12.34,15800.0,12.36,14800.0,12.33,9000.0,12.37,5900.0,12.32,5400.0,12.38,5000.0,12.31,6200.0,12.39,15400.0,12.3,1800.0,12.4,1400.0,12.29,11200.0,12.41,5200.0,12.28,16700.0,12.42,15200.0,12.27,15600.0,12.43,9600.0,12.26,9300.0,12.44,9000.0,12.25,4700.0
10,12.34,12.36,12.32,10.0,28.0,0.0,29.0,37.0,21.0,12.36,11700.0,12.32,17400.0,12.37,5800.0,12.31,2000.0,12.38,11700.0,12.3,8500.0,12.39,16100.0,12.29,17200.0,12.4,19000.0,12.28,8400.0,12.41,18100.0,12.27,3200.0,12.42,8000.0,12.26,6000.0,12.43,18500.0,12.25,12400.0,12.44,7900.0,12.24,3800.0,12.45,15800.0,12.23,13400.0
11,12.344999,12.36,12.33,69.0,74.0,39.0,56.0,18.0,5.0,12.36,17200.0,12.33,9300.0,12.37,3800.0,12.32,7300.0,12.38,12700.0,12.31,5500.0,12.39,2300.0,12.3,16600.0,12.4,11000.0,12.29,8500.0,12.41,11500.0,12.28,15000.0,12.42,1000.0,12.27,9300.0,12.43,5800.0,12.26,2700.0,12.44,1600.0,12.25,9300.0,12.45,11300.0,12.24,10600.0
12,12.345,12.35,12.34,77.0,23.0,63.0,57.0,46.0,21.0,12.35,15800.0,12.34,9600.0,12.36,12200.0,12.33,16500.0,12.37,13400.0,12.32,18300.0,12.38,5200.0,12.31,15900.0,12.39,14200.0,12.3,12000.0,12.4,1000.0,12.29,11200.0,12.41,17300.0,12.28,13200.0,12.42,1000.0,12.27,6400.0,12.43,11800.0,12.26,16400.0,12.44,9400.0,12.25,17200.0
13,12.35,12.36,12.34,58.0,24.0,20.0,66.0,73.0,30.0,12.36,16100.0,12.34,6000.0,12.37,4700.0,12.33,18100.0,12.38,12100.0,12.32,17100.0,12.39,18500.0,12.31,9000.0,12.4,1800.0,12.3,18200.0,12.41,12000.0,12.29,3200.0,12.42,11000.0,12.28,1500.0,12.43,6500.0,12.27,7600.0,12.44,9600.0,12.26,11700.0,12.45,16900.0,12.25,7600.0
14,12.35,12.37,12.33,17.0,76.0,69.0,18.0,71.0,8.0,12.37,14900.0,12.33,18800.0,12.38,15200.0,12.32,5800.0,12.39,13800.0,12.31,6300.0,12.4,10000.0,12.3,13000.0,12.41,6500.0,12.29,1000.0,12.42,16900.0,12.28,14800.0,12.43,3300.0,12.27,8100.0,12.44,5900.0,12.26,19500.0,12.45,18800.0,12.25,14100.0,12.46,9300.0,12.24,1900.0
15,12.355,12.38,12.33,43.0,16.0,52.0,70.0,52.0,54.0,12.38,5600.0,12.33,2700.0,12.39,16000.0,12.32,2600.0,12.4,13800.0,12.31,19000.0,12.41,6800.0,12.3,13900.0,12.42,17700.0,12.29,9100.0,12.43,9500.0,12.28,4800.0,12.44,9100.0,12.27,17500.0,12.45,13600.0,12.26,4800.0,12.46,11000.0,12.25,14400.0,12.47,2400.0,12.24,15500.0
16,12.355,12.37,12.34,56.0,65.0,39.0,76.0,16.0,56.0,12.37,4800.0,12.34,6500.0,12.38,8900.0,12.33,10500.0,12.39,18400.0,12.32,5200.0,12.4,5800.0,12.31,8100.0,12.41,17200.0,12.3,19300.0,12.42,9600.0,12.29,14100.0,12.43,18400.0,12.28,17000.0,12.44,13900.0,12.27,11200.0,12.45,19700.0,12.26,5500.0,12.46,7800.0,12.25,14500.0
17,12.344999,12.37,12.32,0.0,66.0,9.0,42.0,70.0,40.0,12.37,1300.0,12.32,10500.0,12.38,17200.0,12.31,4300.0,12.39,16200.0,12.3,8800.0,12.4,17300.0,12.29,13000.0,12.41,3900.0,12.28,14900.0,12.42,2000.0,12.27,5600.0,12.43,17800.0,12.26,17600.0,12.44,1800.0,12.25,8200.0,12.45,2700.0,12.24,6100.0,12.46,19300.0,12.23,4700.0
18,12.355,12.36,12.35,50.0,74.0,45.0,35.0,50.0,14.0,12.36,13100.0,12.35,16200.0,12.37,17700.0,12.34,7700.0,12.38,14200.0,12.33,10100.0,12.39,3000.0,12.32,5200.0,12.4,15200.0,12.31,14000.0,12.41,10900.0,12.3,15800.0,12.42,14100.0,12.29,7400.0,12.43,6500.0,12.28,18900.0,12.44,19400.0,12.27,1500.0,12.45,16000.0,12.26,3500.0
19,12.35,12.36,12.34,21.0,67.0,0.0,25.0,1.0,44.0,12.36,17300.0,12.34,12100.0,12.37,14000.0,12.33,14300.0,12.38,12400.0,12.32,5700.0,12.39,16300.0,12.31,11500.0,12.4,11300.0,12.3,7000.0,12.41,1100.0,12.29,11500.0,12.42,7500.0,12.28,13500.0,12.43,7900.0,12.27,19400.0,12.44,13900.0,12.26,9600.0,12.45,14400.0,12.25,13300.0
20,12.355,12.38,12.33,58.0,65.0,24.0,59.0,2.0,61.0,12.38,12700.0,12.33,11900.0,12.39,18700.0,12.32,7000.0,12.4,9200.0,12.31,5800.0,12.41,11800.0,12.3,19700.0,12.42,12500.0,12.29,4900.0,12.43,18500.0,12.28,16000.0,12.44,9300.0,12.27,3700.0,12.45,8600.0,12.26,16200.0,12.46,11900.0,12.25,4500.0,12.47,4000.0,12.24,19300.0
21,12.345,12.35,12.34,71.0,28.0,30.0,42.0,70.0,57.0,12.35,9400.0,12.34,14000.0,12.36,7800.0,12.33,2700.0,12.37,8800.0,12.32,14100.0,12.38,7300.0,12.31,12400.0,12.39,9300.0,12.3,7400.0,12.4,5800.0,12.29,5900.0,12.41,5800.0,12.28,14600.0,12.42,7400.0,12.27,15000.0,12.43,6900.0,12.26,7200.0,12.44,18500.0,12.25,17600.0
22,12.35,12.37,12.33,28.0,44.0,6.0,50.0,8.0,29.0,12.37,8600.0,12.33,6100.0,12.38,14500.0,12.32,2300.0,12.39,9600.0,12.31,12300.0,12.4,13800.0,12.3,3000.0,12.41,1000.0,12.29,6200.0,12.42,3200.0,12.28,10600.0,12.43,18400.0,12.27,6400.0,12.44,9600.0,12.26,5000.0,12.45,1800.0,12.25,14300.0,12.46,5800.0,12.24,11300.0
23,12.35,12.36,12.34,19.0,46.0,5.0,73.0,62.0,9.0,12.36,13900.0,12.34,16900.0,12.37,4500.0,12.33,12000.0,12.38,18300.0,12.32,10100.0,12.39,1700.0,12.31,5900.0,12.4,16100.0,12.3,16000.0,12.41,6900.0,12.29,4700.0,12.42,6500.0,12.28,5600.0,12.43,15000.0,12.27,16900.0,12.44,1800.0,12.26,15000.0,12.45,15200.0,12.25,12600.0
24,12.35,12.36,12.34,32.0,23.0,71.0,56.0,1.0,37.0,12.36,17500.0,12.34,1700.0,12.37,14200.0,12.33,3400.0,12.38,18000.0,12.32,10400.0,12.39,2700.0,12.31,15100.0,12.4,15200.0,12.3,9800.0,12.41,6800.0,12.29,1300.0,12.42,18200.0,12.28,4500.0,12.43,17000.0,12.27,12100.0,12.44,14000.0,12.26,14100.0,12.45,17300.0,12.25,1600.0
25,12.355,12.37,12.34,2.0,31.0,38.0,42.0,10.0,21.0,12.37,19800.0,12.34,1800.0,12.38,19900.0,12.33,5900.0,12.39,17000.0,12.32,2500.0,12.4,9700.0,12.31,11200.0,12.41,19100.0,12.3,3300.0,12.42,1600.0,12.29,13300.0,12.43,1900.0,12.28,15700.0,12.44,1700.0,12.27,19400.0,12.45,11100.0,12.26,19000.0,12.46,3400.0,12.25,6100.0
26,12.35,12.36,12.34,20.0,68.0,7.0,12.0,0.0,61.0,12.36,9600.0,12.34,1500.0,12.37,2900.0,12.33,7200.0,12.38,15000.0,12.32,14400.0,12.39,2600.0,12.31,2100.0,12.4,13400.0,12.3,7800.0,12.41,16000.0,12.29,6600.0,12.42,7800.0,12.28,5100.0,12.43,6000.0,12.27,14400.0,12.44,9900.0,12.26,13500.0,12.45,2400.0,12.25,11100.0
27,12.355,12.38,12.33,18.0,1.0,26.0,11.0,35.0,33.0,12.38,9700.0,12.33,18300.0,12.39,9000.0,12.32,2900.0,12.4,14200.0,12.31,3800.0,12.41,18200.0,12.3,8200.0,12.42,15900.0,12.29,13400.0,12.43,9800.0,12.28,12000.0,12.44,4400.0,12.27,2400.0,12.45,15500.0,12.26,19200.0,12.46,17300.0,12.25,6700.0,12.47,7800.0,12.24,7800.0
28,12.355,12.38,12.33,2.0,6.0,47.0,57.0,64.0,55.0,12.38,14300.0,12.33,12800.0,12.39,16100.0,12.32,18900.0,12.4,8400.0,12.31,13500.0,12.41,10500.0,12.3,19100.0,12.42,7700.0,12.29,4500.0,12.43,8100.0,12.28,12700.0,12.44,19100.0,12.27,16700.0,12.45,1300.0,12.26,10600.0,12.46,4000.0,12.25,7800.0,12.47,18900.0,12.24,19700.0
29,12.355,12.37,12.34,60.0,32.0,71.0,34.0,31.0,21.0,12.37,3900.0,12.34,3600.0,12.38,14200.0,12.33,8800.0,12.39,9200.0,12.32,17500.0,12.4,18400.0,12.31,18100.0,12.41,15800.0,12.3,19600.0,12.42,14600.0,12.29,17800.0,12.43,11200.0,12.28,1900.0,12.44,16500.0,12.27,18600.0,12.45,6900.0,12.26,9100.0,12.46,11800.0,12.25,13300.0
30,12.355,12.37,12.34,37.0,61.0,35.0,1.0,26.0,16.0,12.37,13800.0,12.34,8400.0,12.38,17200.0,12.33,16400.0,12.39,18900.0,12.32,11900.0,12.4,2400.0,12.31,17000.0,12.41,2500.0,12.3,4600.0,12.42,6400.0,12.29,4500.0,12.43,14700.0,12.28,9300.0,12.44,5100.0,12.27,1000.0,12.45,5100.0,12.26,14100.0,12.46,16000.0,12.25,6600.0
31,12.355,12.36,12.35,68.0,71.0,14.0,60.0,69.0,35.0,12.36,2300.0,12.35,11500.0,12.37,15800.0,12.34,2300.0,12.38,16100.0,12.33,4200.0,12.39,5900.0,12.32,12800.0,12.4,1900.0,12.31,6800.0,12.41,3600.0,12.3,5000.0,12.42,15600.0,12.29,5300.0,12.43,1800.0,12.28,5000.0,12.44,2600.0,12.27,12800.0,12.45,19400.0,12.26,4100.0
32,12.360001,12.37,12.35,23.0,54.0,38.0,58.0,44.0,59.0,12.37,14800.0,12.35,7800.0,12.38,2300.0,12.34,14000.0,12.39,4900.0,12.33,10700.0,12.4,10600.0,12.32,12300.0,12.41,3500.0,12.31,5700.0,12.42,15000.0,12.3,18700.0,12.43,1200.0,12.29,8800.0,12.44,17700.0,12.28,6400.0,12.45,9500.0,12.27,18100.0,12.46,19400.0,12.26,13400.0
33,12.355,12.36,12.35,22.0,68.0,55.0,77.0,53.0,71.0,12.36,14100.0,12.35,12600.0,12.37,6300.0,12.34,17800.0,12.38,1600.0,12.33,2100.0,12.39,12400.0,12.32,16900.0,12.4,16400.0,12.31,13800.0,12.41,8100.0,12.3,7800.0,12.42,9000.0,12.29,5800.0,12.43,8900.0,12.28,2900.0,12.44,7000.0,12.27,18800.0,12.45,14400.0,12.26,3600.0
